hops 8
config 0 1 1 false false
0 init none failed no_servers -
1 poll failed_no_servers failed no_servers -
1 reply_unmatched ignored failed no_servers -
config 1 1 1 false false
0 init none query_ready 0/0/0/0 E---
1 poll send_udp query_ready 0/0/0/0 E---
2 poll send_udp query_ready 0/0/0/0 E---
2 sent none awaiting_udp 0/0/0/0 E---
3 poll wait awaiting_udp 0/0/0/0 E---
3 expire failed_timeout failed timeout -
4 poll failed_timeout failed timeout -
4 reply_unmatched ignored failed timeout -
3 reply_unmatched ignored awaiting_udp 0/0/0/0 E---
3 reply_answer accepted done - -
4 poll done done - -
4 reply_unmatched ignored done - -
3 reply_cname accepted query_ready 0/0/0/1 E---
4 poll send_udp query_ready 0/0/0/1 E---
5 poll send_udp query_ready 0/0/0/1 E---
5 sent none awaiting_udp 0/0/0/1 E---
6 poll wait awaiting_udp 0/0/0/1 E---
6 expire failed_timeout failed timeout -
6 reply_unmatched ignored awaiting_udp 0/0/0/1 E---
6 reply_answer accepted done - -
6 reply_cname accepted query_ready 0/0/0/2 E---
7 poll send_udp query_ready 0/0/0/2 E---
8 poll send_udp query_ready 0/0/0/2 E---
8 sent none awaiting_udp 0/0/0/2 E---
9 poll wait awaiting_udp 0/0/0/2 E---
9 expire failed_timeout failed timeout -
9 reply_unmatched ignored awaiting_udp 0/0/0/2 E---
9 reply_answer accepted done - -
9 reply_cname accepted query_ready 0/0/0/3 E---
10 poll send_udp query_ready 0/0/0/3 E---
11 poll send_udp query_ready 0/0/0/3 E---
11 sent none awaiting_udp 0/0/0/3 E---
12 poll wait awaiting_udp 0/0/0/3 E---
12 expire failed_timeout failed timeout -
12 reply_unmatched ignored awaiting_udp 0/0/0/3 E---
12 reply_answer accepted done - -
12 reply_cname accepted query_ready 0/0/0/4 E---
13 poll send_udp query_ready 0/0/0/4 E---
14 poll send_udp query_ready 0/0/0/4 E---
14 sent none awaiting_udp 0/0/0/4 E---
15 poll wait awaiting_udp 0/0/0/4 E---
15 expire failed_timeout failed timeout -
15 reply_unmatched ignored awaiting_udp 0/0/0/4 E---
15 reply_answer accepted done - -
15 reply_cname accepted query_ready 0/0/0/5 E---
16 poll send_udp query_ready 0/0/0/5 E---
17 poll send_udp query_ready 0/0/0/5 E---
17 sent none awaiting_udp 0/0/0/5 E---
18 poll wait awaiting_udp 0/0/0/5 E---
18 expire failed_timeout failed timeout -
18 reply_unmatched ignored awaiting_udp 0/0/0/5 E---
18 reply_answer accepted done - -
18 reply_cname accepted query_ready 0/0/0/6 E---
19 poll send_udp query_ready 0/0/0/6 E---
20 poll send_udp query_ready 0/0/0/6 E---
20 sent none awaiting_udp 0/0/0/6 E---
21 poll wait awaiting_udp 0/0/0/6 E---
21 expire failed_timeout failed timeout -
21 reply_unmatched ignored awaiting_udp 0/0/0/6 E---
21 reply_answer accepted done - -
21 reply_cname accepted query_ready 0/0/0/7 E---
22 poll send_udp query_ready 0/0/0/7 E---
23 poll send_udp query_ready 0/0/0/7 E---
23 sent none awaiting_udp 0/0/0/7 E---
24 poll wait awaiting_udp 0/0/0/7 E---
24 expire failed_timeout failed timeout -
24 reply_unmatched ignored awaiting_udp 0/0/0/7 E---
24 reply_answer accepted done - -
24 reply_cname accepted query_ready 0/0/0/8 E---
25 poll send_udp query_ready 0/0/0/8 E---
26 poll send_udp query_ready 0/0/0/8 E---
26 sent none awaiting_udp 0/0/0/8 E---
27 poll wait awaiting_udp 0/0/0/8 E---
27 expire failed_timeout failed timeout -
27 reply_unmatched ignored awaiting_udp 0/0/0/8 E---
27 reply_answer accepted done - -
27 reply_cname accepted failed chain_too_long -
28 poll failed_chain_too_long failed chain_too_long -
28 reply_unmatched ignored failed chain_too_long -
27 reply_nxdomain accepted failed name_not_found -
28 poll failed_name_not_found failed name_not_found -
28 reply_unmatched ignored failed name_not_found -
27 reply_nodata accepted failed no_data -
28 poll failed_no_data failed no_data -
28 reply_unmatched ignored failed no_data -
27 reply_servfail accepted failed all_servers_failed -
28 poll failed_all_servers_failed failed all_servers_failed -
28 reply_unmatched ignored failed all_servers_failed -
27 reply_formerr accepted query_ready 0/0/0/8 ----
28 poll send_udp query_ready 0/0/0/8 ----
29 poll send_udp query_ready 0/0/0/8 ----
29 sent none awaiting_udp 0/0/0/8 ----
30 poll wait awaiting_udp 0/0/0/8 ----
30 expire failed_timeout failed timeout -
30 reply_unmatched ignored awaiting_udp 0/0/0/8 ----
30 reply_answer accepted done - -
30 reply_cname accepted failed chain_too_long -
30 reply_nxdomain accepted failed name_not_found -
30 reply_nodata accepted failed no_data -
30 reply_servfail accepted failed all_servers_failed -
30 reply_formerr accepted failed all_servers_failed -
30 reply_truncated accepted tcp_needed 0/0/0/8 ----
31 poll connect_tcp connecting_tcp 0/0/0/8 ----
32 poll wait connecting_tcp 0/0/0/8 ----
32 expire failed_timeout failed timeout -
32 tcp_connected none tcp_ready 0/0/0/8 ----
33 poll send_tcp tcp_ready 0/0/0/8 ----
34 poll send_tcp tcp_ready 0/0/0/8 ----
34 sent none awaiting_tcp 0/0/0/8 ----
35 poll wait awaiting_tcp 0/0/0/8 ----
35 expire failed_timeout failed timeout -
35 tcp_failed none failed timeout -
35 reply_unmatched ignored awaiting_tcp 0/0/0/8 ----
35 reply_answer accepted done - -
35 reply_cname accepted failed chain_too_long -
35 reply_nxdomain accepted failed name_not_found -
35 reply_nodata accepted failed no_data -
35 reply_servfail accepted failed all_servers_failed -
35 reply_formerr accepted failed all_servers_failed -
35 reply_truncated accepted failed no_data -
35 reply_badcookie accepted failed all_servers_failed -
35 cancel none failed canceled -
36 poll failed_canceled failed canceled -
36 reply_unmatched ignored failed canceled -
34 send_failed none failed timeout -
34 tcp_failed none failed timeout -
34 reply_unmatched ignored tcp_ready 0/0/0/8 ----
34 cancel none failed canceled -
33 tcp_failed none failed timeout -
33 reply_unmatched ignored tcp_ready 0/0/0/8 ----
33 cancel none failed canceled -
32 tcp_failed none failed timeout -
32 reply_unmatched ignored connecting_tcp 0/0/0/8 ----
32 reply_answer ignored connecting_tcp 0/0/0/8 ----
32 reply_cname ignored connecting_tcp 0/0/0/8 ----
32 reply_nxdomain ignored connecting_tcp 0/0/0/8 ----
32 reply_nodata ignored connecting_tcp 0/0/0/8 ----
32 reply_servfail ignored connecting_tcp 0/0/0/8 ----
32 reply_formerr ignored connecting_tcp 0/0/0/8 ----
32 reply_truncated ignored connecting_tcp 0/0/0/8 ----
32 reply_badcookie ignored connecting_tcp 0/0/0/8 ----
32 cancel none failed canceled -
31 reply_unmatched ignored tcp_needed 0/0/0/8 ----
31 cancel none failed canceled -
30 reply_badcookie accepted query_ready 0/0/0/8 ---K
31 poll send_udp query_ready 0/0/0/8 ---K
32 poll send_udp query_ready 0/0/0/8 ---K
32 sent none awaiting_udp 0/0/0/8 ---K
33 poll wait awaiting_udp 0/0/0/8 ---K
33 expire failed_timeout failed timeout -
33 reply_unmatched ignored awaiting_udp 0/0/0/8 ---K
33 reply_answer accepted done - -
33 reply_cname accepted failed chain_too_long -
33 reply_nxdomain accepted failed name_not_found -
33 reply_nodata accepted failed no_data -
33 reply_servfail accepted failed all_servers_failed -
33 reply_formerr accepted failed all_servers_failed -
33 reply_truncated accepted tcp_needed 0/0/0/8 ---K
34 poll connect_tcp connecting_tcp 0/0/0/8 ---K
35 poll wait connecting_tcp 0/0/0/8 ---K
35 expire failed_timeout failed timeout -
35 tcp_connected none tcp_ready 0/0/0/8 ---K
36 poll send_tcp tcp_ready 0/0/0/8 ---K
37 poll send_tcp tcp_ready 0/0/0/8 ---K
37 sent none awaiting_tcp 0/0/0/8 ---K
38 poll wait awaiting_tcp 0/0/0/8 ---K
38 expire failed_timeout failed timeout -
38 tcp_failed none failed timeout -
38 reply_unmatched ignored awaiting_tcp 0/0/0/8 ---K
38 reply_answer accepted done - -
38 reply_cname accepted failed chain_too_long -
38 reply_nxdomain accepted failed name_not_found -
38 reply_nodata accepted failed no_data -
38 reply_servfail accepted failed all_servers_failed -
